_id,title,slug,description,metaDescription,synonyms
"b8578c0d-f677-499a-a862-85d986090d1b","Finance & Strategy","","This category covers financial strategy, planning, cash flow management, profitability analysis, commercialisation, investment decisions, and strategic optimisation. Make data-driven decisions, and develop strategies that align financial performance with your business vision.","Navigate financial management and strategic planning for growth. Learn how to forecast, complete a profitability analysis, and make strategic decisions.","Financial planning|Points Strategy|Business strategy|Cashflow management|Profit optimisation|Revenue forecasting|Financial modelling|CFO advisory|Business valuation|Credit Card Strategy|Exit planning|RevOps"
"3d66e81e-eecd-4b77-8288-71272c13ffc5","Sales & Client Onboarding","","Transform prospects into clients with effective sales strategies and acquisition techniques. This category covers sales process development, prospecting methods, pipeline management, negotiation tactics, proposal creation, and closing strategies. Whether you're building a sales team or refining your personal selling approach, find actionable insights to increase conversion rates and client onboards. Guides and insights on Sales strategy: opening loops, making an offer and closing options","Boost your sales performance with proven client acquisition strategies. Learn prospecting, sales processes, negotiation, and client onboarding techniques.","Sales|Customer Service|Mortgage Broker Offers|Client Follow Up Techniques|Referral Offers|Cross Sell|Upsell|Servicing"
"7fae197f-cd87-4bea-a70e-8ee35ca58ca6","Operations, AI & Workflow","operations-ai-workflow","Streamline your business operations with intelligent workflows and AI-powered automation. This category explores process optimization, workflow design, artificial intelligence applications, productivity systems, and CRM operational efficiency. Discover how to eliminate bottlenecks, reduce mental load, and create clarity over current business operations - allowing you to optimise the way you work. Get tutorials, workflow designs, and systems using Make.com, Zapier, n8n, and how to use artificial intelligence, automation tools, to remove manual tasks.","Optimise business operations with AI-powered workflows and automation. Learn process improvement, CRM efficiency tactics, and integration syncing. ","Workflow Automation|No-Code Automation|Systems|Process Automation|Integrations|CRM|Document Collection|Fact Finds|Forms|Email Syncing|SOPs|Standard Operating Procedures|Artificial Intelligence|AI Tools|AI Workflows"
"57329ab8-1f28-42ec-964e-bfd1fb16b7b0","Outsourcing & Staffing","","Attract, develop, and retain the talent that drives your business forward. This category encompasses recruitment strategies for onshore and offshore teams, hiring processes, team management, leadership development, performance management, company culture, and employee growth. Whether you're hiring your first team member or scaling to hundreds, find guidance on building teams that execute your vision.","Build teams with effective hiring, management, and growth strategies. Discover how to find, hire and work with a Virtual Assistant and Onshore teams.","Offshore staffing|Remote staff|High Performers|Recruitment services|Virtual assistants (VA)|Team augmentation|Workforce outsourcing|Operations support|Credit Analyst|Staff placement|Inhouse Team Members|Broker Staffing|Staff Resourcing"
"73ac24cf-7aa5-48a0-83aa-786ce3b6134a","Compliance & Risk","","Safeguard your business through proactive compliance and risk management. This category covers regulatory compliance, legal requirements, risk assessment, data privacy, insurance considerations, and business continuity planning. Stay ahead of regulatory changes, protect your assets, and build resilient systems that minimize exposure while maintaining operational flexibility.","Protect your business with compliance frameworks, regulatory requirements, legal and risk management strategies that support Aggregator requirements.","Regulatory compliance|Risk management|Audit & assurance|Governance frameworks|Licensing support|Policy management|Quality assurance (QA)|Controls & safeguards|Regulatory Documentation & Reporting|Risk Mitigation"
"b64a6f83-6287-4cbf-a3cf-d872066a69e6","Client Retention & Education","","Create remarkable client experiences that turn customers into loyal advocates. This category explores customer success strategies, service delivery excellence,  client education, relationship management, feedback systems, retention tactics, and client communication. Learn to exceed expectations, reduce churn, and build long-term relationships that generate referrals and sustainable revenue growth.","Learn customer success strategies, service delivery, and relationship management. Deliver exceptional client experiences that drive retention and loyalty.","Learning Design|Client experience (CX)|Customer retention|Client Onboarding|Client Education|Client lifecycle management|Review & renewal processes|Loyalty programs|Referral systems|Ongoing engagement|Customer success|Lead Nurturing|Database reactivation"
"3d573626-0fde-45d2-954d-7375270b4b3a","Business Coaching & Mindset","","Elevate your business performance through structured coaching and continuous improvement. This category covers business coaching methodologies, performance metrics, goal setting frameworks, accountability systems, mindset development, and growth strategies. Whether you're seeking guidance as a business owner or ways to manage burnout and anxiety, discover approaches that drive measurable results and create sustainable success.","Accelerate business growth with coaching and mindset strategies optimising performance. Reduce anxiety, burn-out and stress by taking care of your mental health","Mental Health|Mindset|Neuro Linguistic Programming (NLP)|Executive coaching|Leadership coaching|Founder mindset|Accountability coaching|Emotional intelligence|Burnout prevention|Productivity coaching|Confidence building|Behavioural change|Anxiety Management"
"category-core-business","Core Business","core-business","","",""
"category-marketing-growth-platforms","Marketing & Growth Platforms","marketing-growth-platforms","","",""
"category-video-ux-feedback-tools","Video / UX / Feedback Tools","video-ux-feedback-tools","","",""
"category-data-hosting","Data Hosting","data-hosting","","",""
"category-broker-industry-tools","Broker Industry Tools","broker-industry-tools","","",""
"category-data-monitoring","Data / Monitoring","data-monitoring","","",""
"category-crm","CRM","crm","","",""
"category-automation-integration-platforms","Automation / Integration Platforms","automation-integration-platforms","","",""
"category-learning-design-course-content","Learning Design & Course Content","learning-design-course-content","","",""
"category-collaboration-communication","Collaboration & Communication","collaboration-communication","","",""
"category-website","Website","website","","",""
"439ced47-b17c-460d-b0c1-a1b09d265c0d","Technology & Systems","technology-systems","Discover the technology stack and systems that power efficient business operations. This category covers operating systems (e.g. Microsoft 365 or Google Suites) , system integrations, IT infrastructure, cybersecurity, and digital transformation strategies. Whether you're implementing new tools, optimizing existing systems, or building scalable technology foundations, find expert guidance on selecting and deploying the right solutions for your business needs. Including content focused on  machine learning, and practical ways businesses can leverage technology to improve efficiency and customer experience.","Explore technology solutions and operational systems. Find IT & Cybersecurity support, infrastructure, including Microsoft Office and Google Workspace support","Microsoft 365|Machine Learning|IT Support|Google Workspace|Cybersecurity|IT Infrastructure|Digital Transformation|Google Cloud"
"17e2b7f7-a33e-4302-9cf6-fac85acd5577","Other","other","This category includes emerging, niche, experimental, or hybrid services that sit outside core classifications. It provides a flexible space for innovative offerings, specialised expertise, and evolving solutions that may later form new categories as the ecosystem grows. This can be specialist services in Mortgage, Asset or Commercial or topics that are niche to the Broking industry ","Explore specialised services and solutions that donâ€™t fit neatly into standard business categories. Mortgage, Asset or Commercial software and services. ","Fact Finds|Document Collection|Mortgage Software|Asset Software|Commercial Software|Services for Mortgage Brokers|Services for Commercial Brokers|Services for Asset Finance"
"c46f5fc0-6cd1-4df3-b893-23e1298878bc","Marketing & Lead Generation","","Discover how to build brand awareness, create compelling campaigns, and develop sustainable lead generation systems that fuel your business growth - using digital marketing, content creation, SEO, social media strategy, paid advertising, email marketing, and newsletter subscriptions. Gain the best practices for generating consistent, high-quality leads through automation, funnels, landing pages, and CRM-driven nurturing.","This encompasses digital marketing, content creation, SEO, AI Chat, social media strategy, paid advertising, email marketing, and newsletter subscriptions.","Lead Gen|Prospecting|Funnel Optimisation|Customer Acquisition|AI Chat Recommendation|Paid Ads|Social Media Marketing|Search Engine Optimisation|Content Marketing|Youtube|Podcasts|Keywords|Organic Ranking|Growth Marketing|Digital Marketing|Brand Strategy"