_id,title,slug,description,category,synonyms
"feature-backups-recovery","Backups & Recovery","backups-recovery","","featureCategory-platform-infrastructure",""
"feature-deployment-model","Deployment Model","deployment-model","","featureCategory-platform-infrastructure",""
"feature-email-marketing","Email Marketing","email-marketing","","featureCategory-marketing-channels",""
"feature-attribution-tools","Attribution Tools","attribution-tools","","featureCategory-marketing-channels",""
"feature-cloud-hosting","Cloud Hosting","cloud-hosting","","featureCategory-platform-infrastructure",""
"feature-scalability","Scalability","scalability","","featureCategory-platform-infrastructure",""
"feature-social-media-integrations","Social Media Integrations","social-media-integrations","","featureCategory-marketing-channels",""
"feature-analytics-channels","Analytics Channels","analytics-channels","","featureCategory-marketing-channels",""
"feature-whiteboards-visual-collaboration","Whiteboards / Visual Collaboration","whiteboards-visual-collaboration","","featureCategory-communication-collaboration",""
"feature-ai-content-generation","AI Content Generation","ai-content-generation","","featureCategory-ai-intelligence",""
"feature-soc-2-iso","SOC 2 / ISO","soc-2-iso","","featureCategory-security-compliance",""
"feature-compliance-controls","Compliance Controls","compliance-controls","","featureCategory-security-compliance",""
"feature-performance-tracking","Performance Tracking","performance-tracking","","featureCategory-data-insights-reporting",""
"feature-data-encryption","Data Encryption","data-encryption","","featureCategory-security-compliance",""
"feature-ads-platforms","Ads Platforms","ads-platforms","","featureCategory-marketing-channels",""
"feature-internal-chat-messaging","Internal Chat / Messaging","internal-chat-messaging","","featureCategory-communication-collaboration",""
"feature-notifications","Notifications","notifications","","featureCategory-communication-collaboration",""
"feature-ai-assistants","AI Assistants","ai-assistants","","featureCategory-ai-intelligence",""
"feature-uptime-reliability","Uptime / Reliability","uptime-reliability","","featureCategory-platform-infrastructure",""
"feature-sso-mfa","SSO / MFA","sso-mfa","","featureCategory-security-compliance",""
"feature-role-based-access","Role-based Access","role-based-access","","featureCategory-security-compliance",""
"feature-ai-recommendations","AI Recommendations","ai-recommendations","","featureCategory-ai-intelligence",""
"feature-analytics","Analytics","analytics","","featureCategory-data-insights-reporting",""
"feature-native-integrations","Native Integrations","native-integrations","","featureCategory-integrations-apis",""
"feature-audit-logs","Audit Logs","audit-logs","","featureCategory-security-compliance",""
"feature-conditional-logic","Conditional Logic","conditional-logic","","featureCategory-automation-workflows",""
"feature-real-time-collaboration","Real-time Collaboration","real-time-collaboration","","featureCategory-communication-collaboration",""
"feature-notes-documentation","Notes & Documentation","notes-documentation","","featureCategory-communication-collaboration",""
"feature-activity-feeds","Activity Feeds","activity-feeds","","featureCategory-communication-collaboration",""
"feature-data-export","Data Export","data-export","","featureCategory-data-insights-reporting",""
"feature-task-process-automation","Task / Process Automation","task-process-automation","","featureCategory-automation-workflows",""
"feature-dashboards","Dashboards","dashboards","","featureCategory-data-insights-reporting",""
"feature-workflow-automation","Workflow Automation","workflow-automation","","featureCategory-automation-workflows",""
"feature-triggers-rules","Triggers & Rules","triggers-rules","","featureCategory-automation-workflows",""
"feature-custom-reports","Custom Reports","custom-reports","","featureCategory-data-insights-reporting",""
"feature-webhooks","Webhooks","webhooks","","featureCategory-integrations-apis",""
"feature-zapier-make-connectivity","Zapier / Make connectivity","zapier-make-connectivity","","featureCategory-integrations-apis",""
"feature-ai-summaries","AI Summaries","ai-summaries","","featureCategory-ai-intelligence",""
"feature-comments-mentions","Comments & @Mentions","comments-mentions","","featureCategory-communication-collaboration",""
"feature-approval-flows","Approval Flows","approval-flows","","featureCategory-automation-workflows",""
"feature-app-marketplace","App Marketplace","app-marketplace","","featureCategory-integrations-apis",""
"feature-predictive-insights","Predictive Insights","predictive-insights","","featureCategory-ai-intelligence",""
"xA5RHbZclPWywUNb30Jeii","Custom parsers","custom-parsers","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30Jgq8","finance tools","finance-tools","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGQNJ","vendor reviews","vendor-reviews","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGSvX","document sharing","document-sharing","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZG4vd","Email Sync","email-sync","","featureCategory-communication-collaboration",""
"ZnCTFuK1wuVwi5TkyZG98v","App Marketplaces","app-marketplaces","","featureCategory-integrations-apis",""
"2jZWwrc9pxxlov2iy4ggum","Smart reminders","smart-reminders","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hJpk","automation","automation","","featureCategory-platform-infrastructure",""
"G0CUpyBiOC4AmdG0wkYyNx","Conversational AI","conversational-ai","","featureCategory-ai-intelligence",""
"AJwmnjU6G4q7lKP2Y3fFYE","workflow rules","workflow-rules","","featureCategory-platform-infrastructure",""
"AJwmnjU6G4q7lKP2Y3fMLi","tasking","tasking","","featureCategory-platform-infrastructure",""
"G0CUpyBiOC4AmdG0wkZ8E7","Churn prediction","churn-prediction","","featureCategory-platform-infrastructure",""
"G0CUpyBiOC4AmdG0wkZ8jP","client scoring","client-scoring","","featureCategory-platform-infrastructure",""
"G0CUpyBiOC4AmdG0wkZ9dj","fixed-price gigs","fixed-price-gigs","","featureCategory-platform-infrastructure",""
"G0CUpyBiOC4AmdG0wkZAhR","reviews","reviews","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGQ05","Lifetime deals","lifetime-deals","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGRan","reporting","reporting","","featureCategory-platform-infrastructure",""
"AJwmnjU6G4q7lKP2Y3fAho","retention scoring","retention-scoring","","featureCategory-platform-infrastructure",""
"AJwmnjU6G4q7lKP2Y3fE24","SaaS sourcing","saas-sourcing","","featureCategory-platform-infrastructure",""
"AJwmnjU6G4q7lKP2Y3fIN6","APIs","apis","","featureCategory-platform-infrastructure",""
"G0CUpyBiOC4AmdG0wkZ5kn","Refinance triggers","refinance-triggers","","featureCategory-platform-infrastructure",""
"G0CUpyBiOC4AmdG0wkZ6f7","client alerts","client-alerts","","featureCategory-platform-infrastructure",""
"G0CUpyBiOC4AmdG0wkZClj","lender panel","lender-panel","","featureCategory-platform-infrastructure",""
"AJwmnjU6G4q7lKP2Y3fA3S","lender comparisons","lender-comparisons","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGP17","alerts","alerts","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGPJz","Freelance marketplace","freelance-marketplace","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGS8B","Lead capture","lead-capture","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDBkc","Digital fact-find","digital-fact-find","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDDyG","compliance","compliance","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDFPK","budgeting","budgeting","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDFvi","Deal workflows","deal-workflows","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30JGir","file requests","file-requests","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30JHTn","collaboration","collaboration","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30JfTe","attachment OCR","attachment-ocr","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDEgn","Account aggregation","account-aggregation","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDGiI","auto-reminders","auto-reminders","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZH2G1","multi-host","multi-host","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGwzP","notes","notes","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZH1x9","Booking pages","booking-pages","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZH2dF","paid meetings","paid-meetings","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4gjCC","Templates","templates","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4gjTs","approvals","approvals","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDKR3","CRM","crm","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDLs7","Tasks","tasks","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDNlW","checklists","checklists","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hQ2E","Broadcasts","broadcasts","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hSJe","sequences","sequences","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30Jfvo","exports","exports","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30JkmC","projects","projects","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGpC1","docs","docs","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30JjGK","Boards","boards","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30JsGr","tagging","tagging","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30Jsj1","Campaigns","campaigns","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30JtBB","popups","popups","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGpUt","cards","cards","","featureCategory-platform-infrastructure",""
"4iTBkrn2hpde6XLIlESDDJ","JS functions","js-functions","","featureCategory-platform-infrastructure",""
"4iTBkrn2hpde6XLIlESDl2","LinkedIn actions","linkedin-actions","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hjQI","monitoring","monitoring","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGrHD","forms","forms","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGtV7","Map scraping","map-scraping","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGwXp","Shared inbox","shared-inbox","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZH30T","Events","events","","featureCategory-platform-infrastructure",""
"MLSdmXlJ7lAOsduI3gUznR","landing pages","landing-pages","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDVfN","routers","routers","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDWa3","triggers","triggers","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hcDw","Nodes library","nodes-library","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hfrK","SERP data","serp-data","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hhM8","Multi-inbox","multi-inbox","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hhdo","warm-up","warm-up","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hkZ0","scoring","scoring","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hkqg","API","api","","featureCategory-platform-infrastructure",""
"4iTBkrn2hpde6XLIlESEiY","Mailbox pools","mailbox-pools","","featureCategory-platform-infrastructure",""
"MLSdmXlJ7lAOsduI3gV2UX","Connectors","connectors","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDX2O","scheduling","scheduling","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hdnA","transformations","transformations","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hi4K","Mail merge","mail-merge","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30Jvu9","scrapers","scrapers","","featureCategory-platform-infrastructure",""
"MLSdmXlJ7lAOsduI3gV34f","workflows","workflows","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30K49k","Kanban boards","kanban-boards","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30K544","reminders","reminders","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hsGI","testing","testing","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4lEtk","2FA","2fa","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4lLWk","secrets","secrets","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4lVDm","breach alerts","breach-alerts","","featureCategory-platform-infrastructure",""
"4iTBkrn2hpde6XLIlESHBJ","Kanban","kanban","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDa6f","tracking","tracking","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDq2T","Shared calendars","shared-calendars","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDkcS","NLU","nlu","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30JzJM","DNS setup","dns-setup","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30K04I","verifier","verifier","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30KENN","buffers","buffers","","featureCategory-platform-infrastructure",""
"4iTBkrn2hpde6XLIlESG7q","Bulk verification","bulk-verification","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDc47","Email finder","email-finder","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDj7L","Flow builder","flow-builder","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZGxoD","pipelines","pipelines","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4i4Ek","embeds","embeds","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30K9Iu","reports","reports","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30KB2r","LLM orchestration","llm-orchestration","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hwgI","Round-robin","round-robin","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4i3S8","Intake forms","intake-forms","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4iQlG","PDF builder","pdf-builder","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDqp3","group events","group-events","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcEFxg","file uploads","file-uploads","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcFj7E","Live captions","live-captions","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcF07t","cohorts","cohorts","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcFnsl","summaries","summaries","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4i2Aa","staff calendars","staff-calendars","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4ioma","staging","staging","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4j7oY","Simple dashboards","simple-dashboards","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDuPi","payments","payments","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcEkC5","caching","caching","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHGnT","widgets","widgets","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4iSBe","Surveys","surveys","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHKKf","Shared/VPS","shared-vps","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHS3h","Shared hosting","shared-hosting","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcEPAV","Unlimited forms","unlimited-forms","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcEIFN","responses","responses","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcEZ9u","logic","logic","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcEaCg","backups","backups","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcFAlm","mobile dashboards","mobile-dashboards","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcFoL6","action items","action-items","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcGSt9","tickets","tickets","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4jz3o","recordings","recordings","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4kbcg","Noise removal","noise-removal","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHNkb","CDN","cdn","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4inMC","Managed WP","managed-wp","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4irLg","malware cleanup","malware-cleanup","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4jix2","highlights","highlights","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFbO2z","email","email","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFbWZN","hosting","hosting","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFbX3Z","site builder","site-builder","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFbh2X","goals","goals","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFcDBJ","Recording","recording","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2mjp9","domains","domains","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2mwMh","sticky bars","sticky-bars","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHTOR","SSL","ssl","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHmS3","feature flags","feature-flags","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFcpm9","charity funding","charity-funding","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHZyL","One-click WP","one-click-wp","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHbm7","DNS","dns","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHpev","echo cancellation","echo-cancellation","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHqVB","seating","seating","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFbYDH","WHOIS privacy","whois-privacy","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFcLpF","CRM sync","crm-sync","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcEuBU","A/B testing","a-b-testing","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcF9r6","Event tracking","event-tracking","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2mwnP","Funnels","funnels","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHnMf","Interactive charts","interactive-charts","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHnfX","Wearable recorder","wearable-recorder","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHo1J","cloud sync","cloud-sync","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2nDiV","Live widgets","live-widgets","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2nmdT","call metrics","call-metrics","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2nt67","Local tracks","local-tracks","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2ntZn","AI clips","ai-clips","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHrIX","promo tools","promo-tools","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHtNj","offers","offers","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2neyd","integrations","integrations","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2nvVz","CLI","cli","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2nwXn","clarity highlights","clarity-highlights","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHrhD","producer tools","producer-tools","","featureCategory-platform-infrastructure",""
"diKK0znHE3BM9z2U4Zvqrc","Transcripts","transcripts","","featureCategory-platform-infrastructure",""
"diKK0znHE3BM9z2U4Zvriq","team sharing","team-sharing","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZHqdt","payouts","payouts","","featureCategory-platform-infrastructure",""
"5efHcOJNiYyItLRPzSCZvp","Event pages","event-pages","","featureCategory-platform-infrastructure",""
"5efHcOJNiYyItLRPzSCf1N","HD meetings","hd-meetings","","featureCategory-platform-infrastructure",""
"5efHcOJNiYyItLRPzSCgEj","breakout rooms","breakout-rooms","","featureCategory-platform-infrastructure",""
"5efHcOJNiYyItLRPzSCjVF","Vaults","vaults","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcFyGS","Snippets","snippets","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcHFT9","Lead management","lead-management","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcH8oD","Transaction screening","transaction-screening","","featureCategory-platform-infrastructure",""
"diKK0znHE3BM9z2U4Zvrbk","variables","variables","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFdaLP","AML screening","aml-screening","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFdRhT","Live webinars","live-webinars","","featureCategory-platform-infrastructure",""
"shjNLCpP2MpxGZn3qaYQ96","portal","portal","","featureCategory-platform-infrastructure",""
"shjNLCpP2MpxGZn3qaXMse","captions","captions","","featureCategory-platform-infrastructure",""
"5efHcOJNiYyItLRPzSCcMX","Multi-platform streaming","multi-platform-streaming","","featureCategory-platform-infrastructure",""
"5efHcOJNiYyItLRPzSCkUT","Auto-fill","auto-fill","","featureCategory-platform-infrastructure",""
"5efHcOJNiYyItLRPzSCctV","branding","branding","","featureCategory-platform-infrastructure",""
"5efHcOJNiYyItLRPzSCgqP","Video calls","video-calls","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcGc5y","replays","replays","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcGhmB","redaction","redaction","","featureCategory-platform-infrastructure",""
"shjNLCpP2MpxGZn3qaWlaO","webinars","webinars","","featureCategory-platform-infrastructure",""
"diKK0znHE3BM9z2U4ZwAII","visualisation","visualisation","","featureCategory-platform-infrastructure",""
"diKK0znHE3BM9z2U4Zw8yg","sharing","sharing","","featureCategory-platform-infrastructure",""
"diKK0znHE3BM9z2U4ZwBbu","liveness detection","liveness-detection","","featureCategory-platform-infrastructure",""
"diKK0znHE3BM9z2U4ZwBmY","sanctions monitoring","sanctions-monitoring","","featureCategory-platform-infrastructure",""
"5efHcOJNiYyItLRPzSClmX","organisations","organisations","","featureCategory-platform-infrastructure",""
"5efHcOJNiYyItLRPzSDNgf","task automation","task-automation","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4lhGe","AI transcription","ai-transcription","","featureCategory-platform-infrastructure",""
"shjNLCpP2MpxGZn3qaYJZM","Search mining","search-mining","","featureCategory-platform-infrastructure",""
"oUJNzDTdDI1sJP3ozlCVGZ","Readability scoring","readability-scoring","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcGiMc","fraud signals","fraud-signals","","featureCategory-platform-infrastructure",""
"rpevsbPjJ12Ue14Cl2nxGJ","fraud scoring","fraud-scoring","","featureCategory-platform-infrastructure",""
"Wm8P21H8nybyyDmKcHM0xI","Data extraction","data-extraction","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFdZJF","fraud detection","fraud-detection","","featureCategory-platform-infrastructure",""
"fl19PMOwiolq9r1UNFdcPj","document collection","document-collection","","featureCategory-platform-infrastructure",""
"3oK833C7H0uhaBl3N2pPH7","eSignature","esignature","","featureCategory-platform-infrastructure",""
"3oK833C7H0uhaBl3N2pQdc","Face match","face-match","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4mECO","Transaction monitoring","transaction-monitoring","","featureCategory-platform-infrastructure",""
"oUJNzDTdDI1sJP3ozlCWat","OCR extraction","ocr-extraction","","featureCategory-platform-infrastructure",""
"3oK833C7H0uhaBl3N2pPw0","compliance checks","compliance-checks","","featureCategory-platform-infrastructure",""
"Wm8P21H8nybyyDmKcHM1rW","behavioural analytics","behavioural-analytics","","featureCategory-platform-infrastructure",""
"Wm8P21H8nybyyDmKcHM3Tv","client communications","client-communications","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZI5oX","ID validation","id-validation","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZI5uL","case management","case-management","","featureCategory-platform-infrastructure",""
"ZnCTFuK1wuVwi5TkyZI6KT","Task generation","task-generation","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDDJm","credit analysis","credit-analysis","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDDi4","application lodgement","application-lodgement","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30J816","refinance timing","refinance-timing","","featureCategory-platform-infrastructure",""
"xA5RHbZclPWywUNb30JixY","automations","automations","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcCQXd","Accept / Reject Processes","accept-reject-processes","","featureCategory-automation-workflows",""
"Kvp6thepvh0yhb8VrcCc6C","Deployment Models","deployment-models","","featureCategory-platform-infrastructure",""
"Kvp6thepvh0yhb8VrcDOgC","Contact management","contact-management","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4gP5w","Secure Data Handling","secure-data-handling","","featureCategory-security-compliance",""
"2jZWwrc9pxxlov2iy4gfdE","commission tracking","commission-tracking","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4gWDs","milestones","milestones","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4gbHe","Product quoting","product-quoting","","featureCategory-platform-infrastructure",""
"2jZWwrc9pxxlov2iy4hZIk","Visual builder","visual-builder","","featureCategory-platform-infrastructure",""
"e3f5cd0d-4d30-4a5d-a146-1466e3aa93eb","Documentation","documentation","To get started with using your software, product or service was there documentation supplied. ","cdd1a3be-a30e-452a-98e8-770583b2f6d4","API documentation|Software Guides|Systems Document"
"56b4702f-d1d8-421a-8ce2-e0de2101f655","Quality of Support","quality-of-support","After you were onboarded how easy was it for you to access the Customer Support team? Supplied information via Human or AI to solve your problem. ","cdd1a3be-a30e-452a-98e8-770583b2f6d4","customer service|quality of care|tech support"
"07c07e1b-7df9-4865-b089-6d78055bffa9","Error Management","error-management","How well does the system or service manage errors. Is there data backup, what is the protocol for when things go off line. ","cdd1a3be-a30e-452a-98e8-770583b2f6d4","data recovery|silent fails|backup systems"
"722ccc27-597d-4aa1-83a5-ff87de6c3539","Onboarding Experience","onboarding-experience","This is either via a human or software, how was the experience during choosing and purchasing the product, software or service. Was it easy to get started. ","cdd1a3be-a30e-452a-98e8-770583b2f6d4","Onboarding|Getting Started Guide|Navigating New Systems"
"017ccb17-a6c6-4c9b-a9eb-486bde48c6d0","Brand Customisation","brand-customisation","This feature allows for customisation to match the user's brand","cdd1a3be-a30e-452a-98e8-770583b2f6d4","brand colour|brand logo"