_id,title,slug,categoryKey,description,synonyms,exampleQueries,priority,isActive,showInNav,order
"9b17cd94-c5d1-4146-b8b5-39d8dc1a44b2","Accounting & Tax","accounting-tax","accounting_tax","Accounting, bookkeeping, and tax tools supporting broker businesses.","accounting software|tax tools|bookkeeping|bas reporting","accounting tools for brokers|tax software","70","true","false","7"
"e61b9a73-c187-4a0b-bcd5-787388f0fb59","Data & Reporting","data-reporting","data_reporting","Reporting, dashboards, analytics, and data visibility tools.","reporting tools|analytics|dashboards|data insights","broker reporting tools|loan analytics software","78","true","false","13"
"39331134-844c-4bd6-a488-1a5aec431428","Mindset & Performance","mindset-performance","mindset_performance","Mindset, performance, and personal development tools and coaching.","performance coaching|mindset coaching|personal development","broker mindset coaching|performance training","60","true","false","18"
"a28b3a3a-260a-470e-afbf-7687eb5a6ca0","Mortgage Software","mortgage-software","mortgage_software","Software built specifically for mortgage brokers to manage loans, lenders, and workflows.","mortgage crm|loan software|home loan systems|broker software","mortgage broker software|home loan crm","95","true","false","3"
"db6cc298-9d01-4e4c-acb7-b739d29848e3","CRM & Document Collection","crm-document-collection","crm_document_collection","CRMs and tools that capture client data, manage fact finds, and collect documents securely.","crm|fact find|client onboarding|document collection|client intake","crm for brokers|fact find software|client onboarding tools","92","true","true","6"
"f039e340-8642-4762-afd5-d7860e228676","Commercial Software","commercial-software","commercial_software","Tools for commercial lending, business finance, and complex deal structuring.","commercial lending software|business loan tools|commercial finance systems","commercial finance software|business lending platforms","85","true","false","5"
"34af95e8-e4ac-4357-9dcb-341da1157359","Finance Strategy & Virtual CFO","finance-strategy-virtual-cfo","finance_strategy_virtual_cfo","Strategic finance advice, forecasting, and virtual CFO services.","virtual cfo|financial strategy|business finance","virtual cfo for brokers|finance strategy services","72","true","false","14"
"63209fd4-4eca-4a4d-85a3-f433226c6803","Compliance, Risk & Legal","compliance-risk-legal","compliance_risk_legal","Compliance, legal, and risk management tools for regulated broker environments.","compliance software|risk management|legal tools","broker compliance tools|risk management software","88","true","false","12"
"964d7a94-fb39-4300-a18c-39d92739b372","Brand & Media","brand-media","brand_media","Branding, content creation, video, podcasting, and media production services.","branding|content creation|video production|podcasting","broker branding|content marketing services","60","true","false","9"
"a6bcf371-5e73-4bd2-bb90-2a2163104c34","Marketing Automation","marketing-automation","marketing_automation","Automation tools for marketing, follow-ups, campaigns, and lead nurturing.","email automation|crm automation|lead nurturing","marketing automation tools|email automation software","78","true","true","17"
"6d661e37-8349-4345-b6e3-ddaf9ba31b9c","Recruitment & Team Building","recruitment-team-building","recruitment_team_building","Recruitment, hiring, and team-building services for broker businesses.","recruitment|hiring|team building|staffing","recruit broker staff|team building services","68","true","false","22"
"9e22ee13-1b0b-4e78-be2d-19dbee2d89e5","Other","other","other","Tools and services that donâ€™t fit neatly into other categories.","miscellaneous|other tools|uncategorised","other broker tools","40","true","false","99"
"fabc7598-b123-495e-b9ad-73353182f479","Sales Training","sales-training","sales_training","Sales training, objection handling, and closing skills.","sales coaching|closing skills|objection handling","sales training for brokers|closing skills coaching","75","true","false","23"
"bc4eccbd-f9e6-4887-bddd-50ad83681dea","Virtual Assistants & Outsourcing","virtual-assistants-outsourcing","virtual_assistants_outsourcing","Virtual assistants and outsourced support services.","virtual assistants|outsourcing|offshore staff","hire virtual assistant|outsourced admin support","85","true","true","24"
"23718acb-47bf-4c80-93cc-884bd688bc86","AI & Workflow Design","ai-workflow-design","ai_workflow_design","AI-powered tools and workflow automation to reduce manual work and improve broker efficiency.","ai automation|workflow automation|process automation|ai tools","ai tools for brokers|workflow automation software","90","true","true","2"
"926d904a-8ef3-43e6-bd9d-167e2b3839c9","Asset Software","asset-software","asset_software","Software for asset finance including vehicles, equipment, and asset-backed lending.","asset finance software|equipment finance|vehicle finance tools","asset finance software|vehicle loan systems","85","true","false","4"
"54ab70a1-9a2a-4528-bb92-925024443dc0","Paid Advertising","paid-advertising","paid_advertising","Paid ads, PPC, and media buying services.","google ads|facebook ads|ppc|paid media","paid ads for brokers|google ads management","70","true","false","20"
"3e824a8c-8f1e-4c69-ad27-5c36f858bc46","Admin & Ops","admin-ops","admin_ops","Operational tools that support administration, scheduling, and internal workflows.","admin tools|operations software|office management","admin tools for brokers|operations software","65","false","false","8"
"053f011b-d05f-46d8-873f-a9796b0dd1f5","Client Experience & Retention","client-experience-retention","client_experience_retention","Tools and services focused on improving client experience and increasing retention.","client retention|customer experience|cx tools","client retention tools|improve broker client experience","80","true","false","11"
"1c393592-1e4b-4dc8-bda1-55d30b230960","Public Speaking & Authority","public-speaking-authority","public_speaking_authority","Public speaking, thought leadership, and authority-building services.","public speaking|thought leadership|authority building","public speaking coaching|build authority as broker","55","true","false","21"
"421a1464-cbc6-4e6d-b9a2-d43faf83dc8d","Organic Social Traffic","organic-social-traffic","organic_social_traffic","Organic social media growth, content, and community-building tools.","social media growth|organic marketing|content strategy","organic social growth|linkedin content strategy","65","true","false","19"
"9fca3ae1-7ae1-4c74-bc64-ab2ae9564896","Loan Processing & Credit Support","loan-processing-credit-support","loan_processing_credit_support","Loan processing, credit analysis, and back-office support services.","loan processing|credit support|deal packaging","loan processing services|credit support for brokers","90","true","false","16"
"4c8ab2bd-99ad-4257-9021-6b6fe71a4b3e","IT Support & Cyber Security","it-support-cyber-security","it_support_cyber_security","IT support, infrastructure, and cybersecurity services for broker businesses.","it support|cybersecurity|managed it|security services","it support for brokers|cybersecurity services","82","true","false","15"
"6e2d5dee-b78a-4329-b955-f9ef471a4356","Broker Coaching","broker-coaching","broker_coaching","Coaching, mentoring, and advisory services for broker growth and performance.","business coaching|broker mentoring|performance coaching","broker coaching|business coach for brokers","75","true","false","10"
"026f4c90-81d6-4709-9c0e-91b067fd1100","All Listings","all","all","Browse all software, services, and tools across every category.","all|everything|all tools|all software|all services","all broker tools|browse everything","100","true","true","1"
"cbc38c0c-90b4-4fe8-8fc9-a42cb9289859","Fact Find","fact-find","crm_fact_find","Covers tools, software, documents, and services used to collect, structure, and manage client information at the start of a broker relationship. This includes compliant fact finds, client intake forms, onboarding workflows, data capture processes, and discovery questionnaires used for lending, insurance, and financial advice. Results may include CRM modules, standalone fact find tools, document templates, form builders, and service providers that support compliant client data collection.","client onboarding|client intake|client discovery|data capture|client information collection|compliance intake|customer onboarding|financial fact find|broker fact find|loan application intake|needs analysis|discovery questionnaire","fact find software|broker fact find|client onboarding tools|client intake form|fact find template|CRM fact find|compliant client onboarding|how to collect client information|fact find for brokers|loan application fact find","50","true","false","50"